Icon Name,Old Icon Name,Total Occurrences,Unique Files,Import Count
LockUnlocked,lockUnlockedIcon,38,13,1
RichText,RichTextIcon,38,13,1
SpeechBubbleStar,SpeechBubbleStarIcon,38,13,1
UserTeam,userTeamIcon,38,13,1
CursorType,CursorTypeIcon,38,13,0
Dollar,dollarIcon,38,13,0
FileCube,FileCubeIcon,38,13,0
TableStream,TableStreamIcon,38,13,0
CalendarRange,CalendarRangeIcon,38,11,0
Chip,ChipIcon,38,11,0
DashboardCode,DashboardCodeIcon,38,11,0
FaceNeutral,FaceNeutralIcon,38,11,0
SortLetterHorizontalAscending,SortLetterHorizontalAscendingIcon,38,11,0
SortLetterHorizontalDescending,SortLetterHorizontalDescending,38,11,0
SortLetterVerticalAscending,SortLetterVerticalAscending,38,11,0
SortLetterVerticalDescending,SortLetterVerticalDescendingIcon,38,11,0
WorkflowCode,WorkflowCodeIcon,38,11,0
CloudDownload,cloudDownloadIcon,37,13,1
PullRequest,PullRequestIcon,37,13,0
NeonProject,NeonProjectIcon,37,12,0
Infinity,infinityIcon,36,12,2
Underline,underlineIcon,36,12,2
ArrowDownFill,ArrowDownFillIcon,36,12,1
ArrowUpFill,ArrowUpFillIcon,36,12,1
CatalogHome,CatalogHomeIcon,36,12,0
CatalogShared,CatalogSharedIcon,36,12,0
JoinOperator,JoinOperatorIcon,36,12,0
UserGroupFill,userGroupFillIcon,36,12,0
FileLock,FileLockIcon,36,10,0
FolderCloudFilled,FolderCloudFilledIcon,36,10,0
Group,GroupIcon,35,12,0
PageFirst,pageFirstIcon,35,11,2
BarStacked,BarStackedIcon,34,11,1
BarStackedPercentage,BarStackedPercentageIcon,34,11,1
BracketsCheck,BracketsCheckIcon,34,11,1
BracketsError,BracketsErrorIcon,34,11,1
ClockKey,ClockKeyIcon,34,11,1
FileImage,fileImageIcon,34,11,1
FileModel,fileModelIcon,34,11,1
Puzzle,PuzzleIcon,34,11,1
Resize,ResizeIcon,34,11,1
TableModel,TableModelIcon,34,11,1
AlignJustify,AlignJustifyIcon,34,11,0
ArrowDownDot,ArrowDownDotIcon,34,11,0
BranchReset,BranchResetIcon,34,11,0
CaretDownSquare,caretDownSquareIcon,34,11,0
CaretUpSquare,caretUpSquareIcon,34,11,0
CellsSquare,CellsSquareIcon,34,11,0
CertifiedFillSmall,CertifiedFillSmallIcon,34,11,0
CircleOffLarge,circleOffLargeIcon,34,11,0
Command,CommandIcon,34,11,0
Domains,DomainsIcon,34,11,0
FolderOpenCube,FolderOpenCubeIcon,34,11,0
FolderOutlinePipeline,FolderOutlinePipelineIcon,34,11,0
Libraries,LibrariesIcon,34,11,0
ListNumber,ListNumberIcon,34,11,0
Measure,MeasureIcon,34,11,0
PencilFill,PencilFillIcon,34,11,0
PositionBottom,PositionBottomIcon,34,11,0
PositionLeft,PositionLeftIcon,34,11,0
PositionRight,PositionRightIcon,34,11,0
PositionTop,PositionTopIcon,34,11,0
SlashSquare,SlashSquareIcon,34,11,0
SortCustomVertical,SortCustomVerticalIcon,34,11,0
WorkflowCube,WorkflowCubeIcon,34,11,0
Stream,streamIcon,32,11,0
DatabaseImport,DatabaseImportIcon,32,10,1
ArrowsConnect,ArrowsConnectIcon,32,10,0
Backup,backupIcon,32,10,0
BadgeCodeOff,BadgeCodeOffIcon,32,10,0
BranchCheck,BranchCheckIcon,32,10,0
Brush,BrushIcon,32,10,0
CalendarSync,CalendarSyncIcon,32,10,0
Camera,CameraIcon,32,10,0
CheckCircleSmall,checkCircleSmallIcon,32,10,0
CheckLine,checkLineIcon,32,10,0
ChevronDoubleLeftOff,ChevronDoubleLeftOffIcon,32,10,0
ChevronDoubleRightOff,ChevronDoubleRightOffIcon,32,10,0
CircleOutlineLarge,circleOutlineLargeIcon,32,10,0
ClockOff,ClockOffIcon,32,10,0
CursorClick,CursorClickIcon,32,10,0
DangerSmall,dangerSmallIcon,32,10,0
FolderOpenBranch,FolderOpenBranchIcon,32,10,0
FolderOpenCloud,FolderOpenCloudIcon,32,10,0
Hash,HashIcon,32,10,0
IndentDecrease,indentDecreaseIcon,32,10,0
IndentIncrease,indentIncreaseIcon,32,10,0
Keyboard,keyboardIcon,32,10,0
LetterFormat,LetterFormatIcon,32,10,0
LettersNumbers,LettersNumbersIcon,32,10,0
Lifesaver,LifesaverIcon,32,10,0
LightningCircleFill,lightningCircleFillIcon,32,10,0
Map,MapIcon,32,10,0
NumberFormat,NumberFormatIcon,32,10,0
PageBottom,pageBottomIcon,32,10,0
PageTop,pageTopIcon,32,10,0
Radio,RadioIcon,32,10,0
SaveClock,SaveClockIcon,32,10,0
ShieldOff,ShieldOffIcon,32,10,0
SidebarAuto,sidebarAutoIcon,32,10,0
SortCustomHorizontal,SortCustomHorizontalIcon,32,10,0
SortHorizontalAscending,SortHorizontalAscendingIcon,32,10,0
SortHorizontalDescending,SortHorizontalDescendingIcon,32,10,0
SortLetterUnsorted,SortLetterUnsortedIcon,32,10,0
StrikeThrough,StrikeThroughIcon,32,10,0
SyncSmall,syncSmallIcon,32,10,0
TextUnderline,TextUnderlineIcon,32,10,0
